institution_name,institution_display_name,parent_organization,work_unit,location_hint,target_level,total_relevant_packages,total_pagu,months_found,relevant_categories,official_website,contact_email,contact_phone,contact_person,contact_role,contact_source_url,contact_source_type,contact_notes
694391/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH JAWA TENGAH,694391/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH JAWA TENGAH — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694391/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH JAWA TENGAH,"Jawa Tengah, Semarang (Kota)",NATIONAL,1,35130000,May 2026,IT_HARDWARE,,,,,,,,
694397/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH KALIMANTAN UTARA,694397/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH KALIMANTAN UTARA — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694397/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH KALIMANTAN UTARA,"Kalimantan Utara, Bulungan (Kab.)",NATIONAL,1,26000000,May 2026,LAPTOP,,,,,,,,
694398/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH SULAWESI SELATAN,694398/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH SULAWESI SELATAN — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694398/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH SULAWESI SELATAN,"Sulawesi Selatan, Makassar (Kota)",NATIONAL,1,4000000,May 2026,OFFICE_FURNITURE,,,,,,,,
694399/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH SULAWESI BARAT,694399/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH SULAWESI BARAT — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694399/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH SULAWESI BARAT,"Sulawesi Barat, Jakarta Selatan (Kota)",NATIONAL,1,22120000,May 2026,CAMERA_VIDEO,,,,,,,,
694400/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH SULAWESI TENGAH,694400/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH SULAWESI TENGAH — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694400/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH SULAWESI TENGAH,"Sulawesi Tengah, Palu (Kota)",NATIONAL,2,27154000,May 2026,LAPTOP; OFFICE_FURNITURE,,,,,,,,
694403/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH PAPUA BARAT,694403/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH PAPUA BARAT — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694403/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH PAPUA BARAT,"Papua Barat, Manokwari (Kab.)",NATIONAL,1,24501000,May 2026,LAPTOP; PRINTER,,,,,,,,
694405/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH BALI,694405/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH BALI — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694405/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH BALI,"Bali, Denpasar (Kota)",NATIONAL,2,11300000,May 2026,CCTV; IT_HARDWARE,,,,,,,,
694409/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH SULAWESI UTARA,694409/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH SULAWESI UTARA — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694409/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH SULAWESI UTARA,"Sulawesi Utara, Manado (Kota)",NATIONAL,1,8174000,May 2026,OFFICE_FURNITURE,,,,,,,,
694413/BALAI JASA KONSTRUKSI WILAYAH VI MAKASSAR,694413/BALAI JASA KONSTRUKSI WILAYAH VI MAKASSAR — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694413/BALAI JASA KONSTRUKSI WILAYAH VI MAKASSAR,"Sulawesi Selatan, Makassar (Kota)",NATIONAL,1,6000000,May 2026,SCANNER,,,,,,,,
694416/SEKRETARIAT BADAN PENGEMBANGAN INFRASTRUKTUR WILAYAH,694416/SEKRETARIAT BADAN PENGEMBANGAN INFRASTRUKTUR WILAYAH — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694416/SEKRETARIAT BADAN PENGEMBANGAN INFRASTRUKTUR WILAYAH,"DKI Jakarta, Jakarta Selatan (Kota)",NATIONAL,2,54000000,May 2026,IT_HARDWARE,,,,,,,,
694419/PUSAT PENGEMBANGAN INFRASTRUKTUR PEKERJAAN UMUM WILAYAH II,694419/PUSAT PENGEMBANGAN INFRASTRUKTUR PEKERJAAN UMUM WILAYAH II — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694419/PUSAT PENGEMBANGAN INFRASTRUKTUR PEKERJAAN UMUM WILAYAH II,"DKI Jakarta, Jakarta Selatan (Kota)",NATIONAL,7,195534000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
694420/PUSAT PENGEMBANGAN INFRASTRUKTUR PEKERJAAN UMUM WILAYAH III,694420/PUSAT PENGEMBANGAN INFRASTRUKTUR PEKERJAAN UMUM WILAYAH III — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694420/PUSAT PENGEMBANGAN INFRASTRUKTUR PEKERJAAN UMUM WILAYAH III,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,1,39345000,June 2026,IT_HARDWARE,,,,,,,,
694426/BALAI PENGEMBANGAN KOMPETENSI PEKERJAAN UMUM DAN PERUMAHAN RAKYAT WILAYAH V YOGYAKARTA,694426/BALAI PENGEMBANGAN KOMPETENSI PEKERJAAN UMUM DAN PERUMAHAN RAKYAT WILAYAH V YOGYAKARTA — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694426/BALAI PENGEMBANGAN KOMPETENSI PEKERJAAN UMUM DAN PERUMAHAN RAKYAT WILAYAH V YOGYAKARTA,"DI Yogyakarta, Yogyakarta (Kota)",NATIONAL,3,29510000,May 2026,AUDIO; LAPTOP; STORAGE,,,,,,,,
694430/BALAI PENGEMBANGAN KOMPETENSI PEKERJAAN UMUM DAN PERUMAHAN RAKYAT WILAYAH III JAKARTA,694430/BALAI PENGEMBANGAN KOMPETENSI PEKERJAAN UMUM DAN PERUMAHAN RAKYAT WILAYAH III JAKARTA — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694430/BALAI PENGEMBANGAN KOMPETENSI PEKERJAAN UMUM DAN PERUMAHAN RAKYAT WILAYAH III JAKARTA,"DKI Jakarta, Jakarta Selatan (Kota)",NATIONAL,1,30300000,May 2026,DESKTOP,,,,,,,,
694436/POLITEKNIK PEKERJAAN UMUM,694436/POLITEKNIK PEKERJAAN UMUM — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694436/POLITEKNIK PEKERJAAN UMUM,"Jawa Tengah, Semarang (Kota)",NATIONAL,4,1945457000,May 2026,CAMERA_VIDEO; CCTV; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
90746154 BADAN PENGELOLA DANA LINGKUNGAN HIDUP RBC 2 DAN 3,90746154 BADAN PENGELOLA DANA LINGKUNGAN HIDUP RBC 2 DAN 3 — Kementerian Kehutanan,Kementerian Kehutanan,90746154 BADAN PENGELOLA DANA LINGKUNGAN HIDUP RBC 2 DAN 3,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,2,3162000000,June 2026; May 2026,NETWORKING; SERVER,,,,,,,,
AKADEMI KOMUNITAS NEGERI REJANG LEBONG,"AKADEMI KOMUNITAS NEGERI REJANG LEBONG — Kementerian Pendidikan Tinggi, Sains, dan Teknologi","Kementerian Pendidikan Tinggi, Sains, dan Teknologi",AKADEMI KOMUNITAS NEGERI REJANG LEBONG,"Bengkulu, Rejang Lebong (Kab.)",NATIONAL,1,57276000,May 2026,OFFICE_FURNITURE,,,,,,,,
BADAN GIZI NASIONAL,BADAN GIZI NASIONAL,Badan Gizi Nasional,BADAN GIZI NASIONAL,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,2,287000000,June 2026; May 2026,AUDIO; IT_HARDWARE,,,,,,,,
BADAN KEPEGAWAIAN DAERAH,BADAN KEPEGAWAIAN DAERAH — Provinsi Sumatera Barat,Provinsi Sumatera Barat,BADAN KEPEGAWAIAN DAERAH,"Sumatera Barat, Padang (Kota)",PROVINCE,5,112193700,June 2026; May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE; PRINTER,,,,,,,,
BADAN KEPEGAWAIAN DAN PENGEMBANGAN SDM,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SDM — Kab. Jember,Kab. Jember,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SDM,"Jawa Timur, Jember (Kab.)",EDUCATION,1,42500000,June 2026,NETWORKING,,,,,,,,
BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA DAERAH,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA DAERAH — Kab. Bangka Selatan,Kab. Bangka Selatan,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA DAERAH,"Kep. Bangka Belitung, Bangka Selatan (Kab.)",LOCAL_AGENCY,2,1765000,June 2026,IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA — Kab. Kendal,Kab. Kendal,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Jawa Tengah, Kendal (Kab.)",LOCAL_AGENCY,31,1032210854,June 2026; May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE; PRINTER,,,,,,,,
BADAN KEPEGAWAIAN NEGARA KANTOR PUSAT JAKARTA,BADAN KEPEGAWAIAN NEGARA KANTOR PUSAT JAKARTA — Badan Kepegawaian Negara,Badan Kepegawaian Negara,BADAN KEPEGAWAIAN NEGARA KANTOR PUSAT JAKARTA,"DKI Jakarta, Jakarta Timur (Kota)",NATIONAL,4,381648000,June 2026; May 2026,IT_HARDWARE; NETWORKING; UPS,,,,,,,,
"BADAN KEPEGAWAIAN, PENDIDIKAN DAN PELATIHAN","BADAN KEPEGAWAIAN, PENDIDIKAN DAN PELATIHAN — Kota Semarang",Kota Semarang,"BADAN KEPEGAWAIAN, PENDIDIKAN DAN PELATIHAN","Jawa Tengah, Semarang (Kota)",LOCAL_AGENCY,2,95331140,June 2026; May 2026,CCTV; IT_HARDWARE,,,,,,,,
BADAN KESATUAN BANGSA DAN POLITIK,BADAN KESATUAN BANGSA DAN POLITIK — Kab. Kepulauan Mentawai,Kab. Kepulauan Mentawai,BADAN KESATUAN BANGSA DAN POLITIK,"Sumatera Barat, Kepulauan Mentawai (Kab.)",LOCAL_AGENCY,39,1874623426,June 2026; May 2026,AUDIO; CAMERA_VIDEO; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE; PRINTER,,,,,,,,
"BADAN KESATUAN BANGSA, POLITIK DAN PERLINDUNGAN MASYARAKAT","BADAN KESATUAN BANGSA, POLITIK DAN PERLINDUNGAN MASYARAKAT — Kab. Kolaka",Kab. Kolaka,"BADAN KESATUAN BANGSA, POLITIK DAN PERLINDUNGAN MASYARAKAT","Sulawesi Tenggara, Kolaka (Kab.) | Sulawesi Tenggara, Kolaka (Kab.) | Sulawesi Tenggara, Kolaka (Kab.) | Sulawesi Tenggara, Kolaka (Kab.)",LOCAL_AGENCY,2,3744000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN KEUANGAN DAERAH,BADAN KEUANGAN DAERAH — Kota Depok,Kota Depok,BADAN KEUANGAN DAERAH,"Jawa Barat, Depok (Kota)",LOCAL_AGENCY,4,307037000,June 2026; May 2026,IT_HARDWARE; OFFICE_FURNITURE; STORAGE,,,,,,,,
BADAN KEUANGAN DAN ASET DAERAH,BADAN KEUANGAN DAN ASET DAERAH — Kab. Sleman,Kab. Sleman,BADAN KEUANGAN DAN ASET DAERAH,"DI Yogyakarta, Sleman (Kab.)",LOCAL_AGENCY,16,628171047,June 2026; May 2026,DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
BADAN KOMUNIKASI PEMERINTAH,BADAN KOMUNIKASI PEMERINTAH — Kementerian Sekretariat Negara,Kementerian Sekretariat Negara,BADAN KOMUNIKASI PEMERINTAH,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,1,6840080000,May 2026,LAPTOP,,,,,,,,
BADAN NARKOTIKA NASIONAL KABUPATEN KARIMUN,BADAN NARKOTIKA NASIONAL KABUPATEN KARIMUN — Badan Narkotika Nasional,Badan Narkotika Nasional,BADAN NARKOTIKA NASIONAL KABUPATEN KARIMUN,"Kepulauan Riau, Karimun (Kab.)",NATIONAL,6,1145000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN NARKOTIKA NASIONAL KOTA TANJUNG BALAI,BADAN NARKOTIKA NASIONAL KOTA TANJUNG BALAI — Badan Narkotika Nasional,Badan Narkotika Nasional,BADAN NARKOTIKA NASIONAL KOTA TANJUNG BALAI,"Sumatera Utara, Tanjung Balai (Kota)",NATIONAL,5,946000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN NARKOTIKA NASIONAL PROVINSI JAWA TENGAH,BADAN NARKOTIKA NASIONAL PROVINSI JAWA TENGAH — Badan Narkotika Nasional,Badan Narkotika Nasional,BADAN NARKOTIKA NASIONAL PROVINSI JAWA TENGAH,"Jawa Tengah, Semarang (Kota)",PROVINCE,6,232222000,May 2026,AUDIO; CAMERA_VIDEO; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER,,,,,,,,
BADAN PELAYANAN PENGADAAN BARANG/JASA,BADAN PELAYANAN PENGADAAN BARANG/JASA — Provinsi DKI Jakarta,Provinsi DKI Jakarta,BADAN PELAYANAN PENGADAAN BARANG/JASA,"DKI Jakarta, Jakarta Pusat (Kota)",PROVINCE,4,541693360,June 2026; May 2026,AUDIO; CCTV; LAPTOP; PRINTER,,,,,,,,
BADAN PENANGGULANGAN BENCANA DAERAH KOTA GUNUNGSITOLI,BADAN PENANGGULANGAN BENCANA DAERAH KOTA GUNUNGSITOLI — Kota Gunungsitoli,Kota Gunungsitoli,BADAN PENANGGULANGAN BENCANA DAERAH KOTA GUNUNGSITOLI,"Sumatera Utara, Gunung Sitoli (Kota)",LOCAL_AGENCY,1,14097000,May 2026,DESKTOP,,,,,,,,
BADAN PENANGGULANGAN BENCANA DAERAH,BADAN PENANGGULANGAN BENCANA DAERAH — Kab. Kepulauan Mentawai,Kab. Kepulauan Mentawai,BADAN PENANGGULANGAN BENCANA DAERAH,"Sumatera Barat, Kepulauan Mentawai (Kab.)",LOCAL_AGENCY,18,650607792,June 2026; May 2026,AUDIO; CAMERA_VIDEO; CCTV; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
BADAN PENANGGULANGAN BENCANA KABUPATEN,BADAN PENANGGULANGAN BENCANA KABUPATEN — Kab. Aceh Jaya,Kab. Aceh Jaya,BADAN PENANGGULANGAN BENCANA KABUPATEN,"Aceh, Aceh Jaya (Kab.)",LOCAL_AGENCY,1,860000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PENDAPATAN DAERAH PROVINSI KALIMANTAN BARAT,BADAN PENDAPATAN DAERAH PROVINSI KALIMANTAN BARAT — Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,BADAN PENDAPATAN DAERAH PROVINSI KALIMANTAN BARAT,"Kalimantan Barat, Pontianak (Kota)",PROVINCE,3,18284000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PENDAPATAN DAERAH,BADAN PENDAPATAN DAERAH — Provinsi Jawa Timur,Provinsi Jawa Timur,BADAN PENDAPATAN DAERAH,"Jawa Timur, Surabaya (Kota)",PROVINCE,49,2907288908,June 2026; May 2026,AUDIO; CAMERA_VIDEO; CCTV; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER; STORAGE,,,,,,,,
BADAN PENDAPATAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,BADAN PENDAPATAN PENGELOLAAN KEUANGAN DAN ASET DAERAH — Kab. Intan Jaya,Kab. Intan Jaya,BADAN PENDAPATAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,"Papua Tengah, Intan Jaya (Kab.)",LOCAL_AGENCY,6,15369492,June 2026; May 2026,IT_HARDWARE; PRINTER,,,,,,,,
BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN,BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN — Kementerian Keuangan,Kementerian Keuangan,BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN,"DKI Jakarta, Jakarta Selatan (Kota)",NATIONAL,2,300188000,May 2026,CAMERA_VIDEO; LAPTOP,,,,,,,,
BADAN PENDIDIKAN DAN PELATIHAN PEMERIKSAAN KEUANGAN NEGARA,BADAN PENDIDIKAN DAN PELATIHAN PEMERIKSAAN KEUANGAN NEGARA — Badan Pemeriksa Keuangan,Badan Pemeriksa Keuangan,BADAN PENDIDIKAN DAN PELATIHAN PEMERIKSAAN KEUANGAN NEGARA,"DKI Jakarta, Jakarta Selatan (Kota)",NATIONAL,2,88598000,May 2026,CAMERA_VIDEO; STORAGE,,,,,,,,
BADAN PENDIDIKAN DAN PELATIHAN,BADAN PENDIDIKAN DAN PELATIHAN — Provinsi DI Yogyakarta,Provinsi DI Yogyakarta,BADAN PENDIDIKAN DAN PELATIHAN,"DI Yogyakarta, Bantul (Kab.)",PROVINCE,1,2714000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PENELITIAN DAN PENGEMBANGAN,BADAN PENELITIAN DAN PENGEMBANGAN — Provinsi Sumatera Barat,Provinsi Sumatera Barat,BADAN PENELITIAN DAN PENGEMBANGAN,"Sumatera Barat, Padang (Kota)",PROVINCE,1,18616000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PENGATURAN BADAN USAHA MILIK NEGARA,BADAN PENGATURAN BADAN USAHA MILIK NEGARA — Kementerian Badan Usaha Milik Negara,Kementerian Badan Usaha Milik Negara,BADAN PENGATURAN BADAN USAHA MILIK NEGARA,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,3,6733471000,May 2026,NETWORKING; STORAGE; UPS,,,,,,,,
BADAN PENGELOLA KEUANGAN DAERAH,BADAN PENGELOLA KEUANGAN DAERAH — Kab. Nagan Raya,Kab. Nagan Raya,BADAN PENGELOLA KEUANGAN DAERAH,"Aceh, Nagan Raya (Kab.)",LOCAL_AGENCY,2,63000000,May 2026,PRINTER; SERVER,,,,,,,,
BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH — Kab. Konawe,Kab. Konawe,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,"Sulawesi Tenggara, Konawe (Kab.)",LOCAL_AGENCY,9,531744000,June 2026; May 2026,AUDIO; CAMERA_VIDEO; DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
BADAN PENGELOLA KEUANGAN DAN PENDAPATAN DAERAH,BADAN PENGELOLA KEUANGAN DAN PENDAPATAN DAERAH — Kota Cirebon,Kota Cirebon,BADAN PENGELOLA KEUANGAN DAN PENDAPATAN DAERAH,"Jawa Barat, Cirebon (Kota)",LOCAL_AGENCY,1,407169000,May 2026,NETWORKING,,,,,,,,
BADAN PENGELOLA PAJAK DAERAH DAN RETRIBUSI DAERAH,BADAN PENGELOLA PAJAK DAERAH DAN RETRIBUSI DAERAH — Kota Balikpapan,Kota Balikpapan,BADAN PENGELOLA PAJAK DAERAH DAN RETRIBUSI DAERAH,"Kalimantan Timur, Balikpapan (Kota)",LOCAL_AGENCY,1,4953690,May 2026,IT_HARDWARE,,,,,,,,
BADAN PENGELOLA PENDAPATAN DAERAH,BADAN PENGELOLA PENDAPATAN DAERAH — Provinsi Jawa Tengah,Provinsi Jawa Tengah,BADAN PENGELOLA PENDAPATAN DAERAH,"Jawa Tengah, Semarang (Kota)",PROVINCE,1,130000000,June 2026,LAPTOP,,,,,,,,
BADAN PENGELOLA PERBATASAN DAN KERJASAMA,BADAN PENGELOLA PERBATASAN DAN KERJASAMA — Provinsi Papua,Provinsi Papua,BADAN PENGELOLA PERBATASAN DAN KERJASAMA,"Papua, Jayapura (Kota)",PROVINCE,1,6482400,May 2026,DESKTOP; IT_HARDWARE,,,,,,,,
BADAN PENGELOLAAN KEUANGAN ASET DAERAH,BADAN PENGELOLAAN KEUANGAN ASET DAERAH — Kab. Empat Lawang,Kab. Empat Lawang,BADAN PENGELOLAAN KEUANGAN ASET DAERAH,"Sumatera Selatan, Empat Lawang (Kab.)",LOCAL_AGENCY,2,400000000,May 2026,DESKTOP; OFFICE_FURNITURE,,,,,,,,
BADAN PENGELOLAAN KEUANGAN DAERAH,BADAN PENGELOLAAN KEUANGAN DAERAH — Kab. Aceh Barat,Kab. Aceh Barat,BADAN PENGELOLAAN KEUANGAN DAERAH,"Aceh, Aceh Barat (Kab.)",LOCAL_AGENCY,1,300000000,May 2026,NETWORKING,,,,,,,,
BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH — Kota Denpasar,Kota Denpasar,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,"Bali, Denpasar (Kota)",LOCAL_AGENCY,30,1267651665,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
BADAN PENGELOLAAN KEUANGAN DAN ASSET DAERAH,BADAN PENGELOLAAN KEUANGAN DAN ASSET DAERAH — Kota Sorong,Kota Sorong,BADAN PENGELOLAAN KEUANGAN DAN ASSET DAERAH,"Papua Barat Daya, Sorong (Kota)",LOCAL_AGENCY,2,34247900,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PENGELOLAAN KEUANGAN DAN PENDAPATAN DAERAH,BADAN PENGELOLAAN KEUANGAN DAN PENDAPATAN DAERAH — Kab. Humbang Hasundutan,Kab. Humbang Hasundutan,BADAN PENGELOLAAN KEUANGAN DAN PENDAPATAN DAERAH,"Sumatera Utara, Humbang Hasundutan (Kab.)",LOCAL_AGENCY,7,215760720,May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
BADAN PENGELOLAAN KEUANGAN KABUPATEN,BADAN PENGELOLAAN KEUANGAN KABUPATEN — Kab. Pidie,Kab. Pidie,BADAN PENGELOLAAN KEUANGAN KABUPATEN,"Aceh, Pidie (Kab.)",LOCAL_AGENCY,11,268426249,June 2026,IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
BADAN PENGELOLAAN KEUANGAN PENDAPATAN DAN ASET DAERAH,BADAN PENGELOLAAN KEUANGAN PENDAPATAN DAN ASET DAERAH — Kab. Batang,Kab. Batang,BADAN PENGELOLAAN KEUANGAN PENDAPATAN DAN ASET DAERAH,"Jawa Tengah, Batang (Kab.)",LOCAL_AGENCY,3,1505400,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PENGELOLAAN KEUANGAN,BADAN PENGELOLAAN KEUANGAN — Kab. Aceh Tengah,Kab. Aceh Tengah,BADAN PENGELOLAAN KEUANGAN,"Aceh, Aceh Tengah (Kab.)",LOCAL_AGENCY,1,141000000,May 2026,SERVER,,,,,,,,
"BADAN PENGELOLAAN KEUANGAN, ASET, DAN PENDAPATAN DAERAH","BADAN PENGELOLAAN KEUANGAN, ASET, DAN PENDAPATAN DAERAH — Kab. Tolikara",Kab. Tolikara,"BADAN PENGELOLAAN KEUANGAN, ASET, DAN PENDAPATAN DAERAH","Papua Pegunungan, Tolikara (Kab.)",LOCAL_AGENCY,7,57549000,June 2026; May 2026,DESKTOP; IT_HARDWARE,,,,,,,,
"BADAN PENGELOLAAN KEUANGAN, PENDAPATAN DAN ASET DAERAH","BADAN PENGELOLAAN KEUANGAN, PENDAPATAN DAN ASET DAERAH — Kab. Demak",Kab. Demak,"BADAN PENGELOLAAN KEUANGAN, PENDAPATAN DAN ASET DAERAH","Jawa Tengah, Demak (Kab.)",LOCAL_AGENCY,9,264358500,June 2026; May 2026,DESKTOP; IT_HARDWARE; NETWORKING,,,,,,,,
"BADAN PENGELOLAAN KEUANGAN, PENDAPATAN, DAN ASET DAERAH","BADAN PENGELOLAAN KEUANGAN, PENDAPATAN, DAN ASET DAERAH — Kota Cilegon",Kota Cilegon,"BADAN PENGELOLAAN KEUANGAN, PENDAPATAN, DAN ASET DAERAH","Banten, Cilegon (Kota)",LOCAL_AGENCY,3,5638000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PENGELOLAAN PAJAK DAN RETRIBUSI DAERAH,BADAN PENGELOLAAN PAJAK DAN RETRIBUSI DAERAH — Kab. Raja Ampat,Kab. Raja Ampat,BADAN PENGELOLAAN PAJAK DAN RETRIBUSI DAERAH,"Papua Barat Daya, Raja Ampat (Kab.)",LOCAL_AGENCY,1,200000000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PENGEMBANGAN DAN INFORMASI DESA DAN DAERAH TERTINGGAL,BADAN PENGEMBANGAN DAN INFORMASI DESA DAN DAERAH TERTINGGAL — Kementerian Desa dan Pembangunan Daerah Tertinggal,Kementerian Desa dan Pembangunan Daerah Tertinggal,BADAN PENGEMBANGAN DAN INFORMASI DESA DAN DAERAH TERTINGGAL,"DKI Jakarta, Jakarta Selatan (Kota)",NATIONAL,6,4233500000,June 2026; May 2026,LAPTOP; NETWORKING; STORAGE; UPS,,,,,,,,
BADAN PENGEMBANGAN DAN SUMBER DAYA MANUSIA,BADAN PENGEMBANGAN DAN SUMBER DAYA MANUSIA — Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,BADAN PENGEMBANGAN DAN SUMBER DAYA MANUSIA,"Sulawesi Selatan, Makassar (Kota)",PROVINCE,2,6240400,June 2026,IT_HARDWARE,,,,,,,,
BADAN PENGEMBANGAN SUMBER DAYA MANUSIA DAERAH,BADAN PENGEMBANGAN SUMBER DAYA MANUSIA DAERAH — Provinsi Jawa Tengah,Provinsi Jawa Tengah,BADAN PENGEMBANGAN SUMBER DAYA MANUSIA DAERAH,"Jawa Tengah, Semarang (Kota)",PROVINCE,7,42000000,June 2026; May 2026,NETWORKING,,,,,,,,
BADAN PENGEMBANGAN SUMBER DAYA MANUSIA,BADAN PENGEMBANGAN SUMBER DAYA MANUSIA — Provinsi Kalimantan Selatan,Provinsi Kalimantan Selatan,BADAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Kalimantan Selatan, Banjar Baru (Kota)",PROVINCE,11,132510200,June 2026; May 2026,CAMERA_VIDEO; IT_HARDWARE; OFFICE_FURNITURE; STORAGE,,,,,,,,
